IDNum,a,b,c,d,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10
35790,Action,History,War,2017,Walter Huston,Harry Davenport,Paul Hurst,Dana Andrews,NA,NA,NA,NA,NA,NA
66853,Drama,2016,NA,NA,Ivan de Albuquerque,Rubens Correia,Roberto Bonfim,NA,NA,NA,NA,NA,NA,NA
69049,Drama,2018,NA,NA,Peter Bogdanovich,Robert Random,John Huston,NA,NA,NA,NA,NA,NA,NA
94859,Comedy,2016,NA,NA,Allan Arbus,Zack Norman,Ed Lauter,Allen Garfield,NA,NA,NA,NA,NA,NA
100275,Comedy,Drama,Fantasy,2017,Francisco Reyes,Luis Alarcn,NA,NA,NA,NA,NA,NA,NA,NA
133957,Drama,2016,NA,NA,Paul Hunt,Nikolai van der Heyde,David Carradine,NA,NA,NA,NA,NA,NA,NA
137204,Adventure,Animation,Comedy,2017,C. Ernst Harth,Anthony Harrison,NA,NA,NA,NA,NA,NA,NA,NA
283440,Sci-Fi,2015,NA,NA,Thomas Scharff,Hans Dieter Brckner,Francesco Pahlevan,NA,NA,NA,NA,NA,NA,NA
315642,Action,Crime,Drama,2016,Farhan Akhtar,John Abraham,Amitabh Bachchan,NA,NA,NA,NA,NA,NA,NA
329539,Adventure,Comedy,Romance,2014,Martin Kove,Pat Morita,Dean Haglund,Ian Lithgow,NA,NA,NA,NA,NA,NA
331314,Adventure,Animation,Comedy,2017,Kelsey Grammer,John Goodman,Jeff Foxworthy,Johnny Orlando,NA,NA,NA,NA,NA,NA
337926,Biography,2015,NA,NA,Gabriel Braga Nunes,Paulo Betti,NA,NA,NA,NA,NA,NA,NA,NA
339736,Horror,2017,NA,NA,Sean Patrick Flanery,Frederick Koehler,NA,NA,NA,NA,NA,NA,NA,NA
346045,Drama,2015,NA,NA,Martin Aslan,NA,NA,NA,NA,NA,NA,NA,NA,NA
364201,Action,2016,NA,NA,Javed Jaffrey,Bob Christo,Anup Jalota,Dev Anand,NA,NA,NA,NA,NA,NA
365545,Comedy,Drama,Romance,2018,Ricky Whittle,Ernie Hudson,NA,NA,NA,NA,NA,NA,NA,NA
365907,Crime,Drama,Mystery,2014,Liam Neeson,Boyd Holbrook,Dan Stevens,David Harbour,NA,NA,NA,NA,NA,NA
366415,Documentary,2017,NA,NA,Vincent Vartanov,NA,NA,NA,NA,NA,NA,NA,NA,NA
369610,Action,Adventure,Sci-Fi,2015,Chris Pratt,Ty Simpkins,NA,NA,NA,NA,NA,NA,NA,NA
376479,Crime,Drama,2016,NA,Ewan McGregor,Peter Riegert,NA,NA,NA,NA,NA,NA,NA,NA
403935,Action,2014,NA,NA,Ajay Devgn,Prabhas,Shahid Kapoor,NA,NA,NA,NA,NA,NA,NA
420293,Biography,Drama,History,2015,Tye Sheridan,Billy Crudup,Ezra Miller,NA,NA,NA,NA,NA,NA,NA
424859,Drama,2014,NA,NA,Jean Hugues Anglade,Michael Madsen,NA,NA,NA,NA,NA,NA,NA,NA
435651,Drama,Romance,Sci-Fi,2014,Jeff Bridges,Brenton Thwaites,NA,NA,NA,NA,NA,NA,NA,NA
437086,Action,Adventure,Romance,2018,Christoph Waltz,NA,NA,NA,NA,NA,NA,NA,NA,NA
443465,Comedy,Drama,Romance,2014,John Cullum,Chris Evans,NA,NA,NA,NA,NA,NA,NA,NA
443533,Drama,Romance,War,2016,Derek Jacobi,Elliott Gould,NA,NA,NA,NA,NA,NA,NA,NA
446792,Comedy,Drama,Romance,2018,Robert Walden,Jay Huguley,Ken Kercheval,NA,NA,NA,NA,NA,NA,NA
451201,Horror,2017,NA,NA,Wade Sullivan,NA,NA,NA,NA,NA,NA,NA,NA,NA
